X,Y,Z,Activity
1883,2589,2081,5
1981,2534,2229,5
2031,2580,2273,5
2006,2616,2240,5
1924,2500,2198,5
1884,2386,2233,5
1870,2326,2282,5
1868,2307,2316,5
1905,2324,2315,5
1915,2343,2286,5
1962,2350,2201,5
1973,2327,2135,5
1942,2297,2115,5
1880,2278,2133,5
1879,2248,2155,5
1909,2261,2134,5
1897,2244,2089,5
1892,2235,2107,5
1922,2242,2159,5
1936,2246,2144,5
1910,2258,2121,5
1895,2282,2127,5
1899,2304,2127,5
1903,2308,2113,5
1899,2307,2116,5
1888,2312,2130,5
1886,2323,2127,5
1883,2347,2134,5
1879,2391,2133,5
1867,2439,2114,5
1856,2454,2086,5
1842,2485,2095,5
1817,2506,2125,5
1803,2542,2171,5
1804,2618,2187,5
1799,2618,2171,5
1818,2552,2112,5
1851,2419,2099,5
1878,2309,2164,5
1939,2252,2202,5
1973,2261,2195,5
1961,2292,2159,5
1941,2312,2116,5
1933,2321,2076,5
1927,2313,2057,5
1933,2286,2067,5
1955,2251,2069,5
1964,2267,2049,5
1950,2297,2055,5
1961,2304,2059,5
1947,2334,2045,5
1930,2365,2036,5
1929,2385,2058,5
1943,2429,2104,5
1971,2460,2090,5
1957,2458,2034,5
1936,2450,2019,5
1925,2453,2029,5
1919,2483,2024,5
1912,2483,2006,5
1928,2473,2005,5
1938,2451,2051,5
1920,2383,2091,5
1920,2384,2092,5
1921,2384,2095,5
1920,2386,2095,5
1921,2385,2097,5
1922,2385,2097,5
1921,2387,2098,5
1921,2377,2086,5
1897,2353,2058,5
1885,2344,2068,5
1893,2331,2085,5
1891,2321,2060,5
1901,2307,2037,5
1902,2294,2042,5
1903,2282,2039,5
1898,2277,2037,5
1902,2287,2018,5
1907,2294,2028,5
1908,2301,2033,5
1901,2304,2047,5
1900,2335,2084,5
1872,2398,2081,5
1852,2447,2045,5
1852,2447,2096,5
1906,2499,2165,5
1925,2501,2200,5
1910,2489,2123,5
1964,2468,2100,5
2002,2417,2138,5
2050,2402,2163,5
2040,2402,2172,5
1962,2407,2150,5
1916,2398,2070,5
1918,2364,2045,5
1932,2325,2045,5
1951,2309,2015,5
1940,2291,2031,5
1926,2264,2033,5
1911,2268,2039,5
1917,2285,2063,5
1932,2295,2060,5
1932,2314,2041,5
1921,2345,2023,5
1927,2343,2047,5
1943,2361,2036,5
1925,2416,2017,5
1890,2489,2003,5
1880,2509,2023,5
1888,2539,2040,5
1889,2578,2059,5
1918,2612,2127,5
1946,2648,2186,5
1944,2657,2131,5
1887,2541,2137,5
1881,2392,2166,5
1865,2285,2169,5
1866,2266,2213,5
1869,2268,2252,5
1871,2289,2235,5
1874,2340,2197,5
1901,2375,2144,5
1924,2378,2125,5
1908,2352,2093,5
1858,2327,2086,5
1820,2311,2075,5
1835,2288,2101,5
1909,2258,2103,5
1919,2247,2067,5
1908,2244,2065,5
1921,2253,2095,5
1938,2253,2127,5
1928,2283,2134,5
1905,2321,2144,5
1870,2376,2157,5
1856,2435,2156,5
1848,2469,2148,5
1831,2515,2153,5
1831,2549,2160,5
1807,2580,2213,5
1826,2579,2277,5
1871,2533,2273,5
1912,2440,2210,5
1926,2367,2222,5
1975,2329,2222,5
2013,2318,2178,5
2024,2319,2174,5
1993,2328,2171,5
1951,2357,2126,5
1924,2356,2089,5
1935,2330,2063,5
1938,2307,2077,5
1946,2249,2091,5
1943,2228,2080,5
1916,2218,2080,5
1905,2217,2100,5
1917,2249,2115,5
1937,2287,2108,5
1947,2331,2099,5
1965,2361,2079,5
1940,2397,2043,5
1949,2431,2034,5
1937,2472,2055,5
1931,2503,2085,5
1929,2539,2148,5
1927,2580,2205,5
1936,2596,2230,5
1925,2516,2180,5
1924,2414,2161,5
1933,2331,2203,5
1943,2314,2245,5
1927,2311,2234,5
1913,2315,2199,5
1906,2338,2145,5
1923,2336,2106,5
1922,2327,2109,5
1901,2309,2104,5
1888,2290,2089,5
1870,2285,2084,5
1879,2276,2100,5
1915,2265,2082,5
1913,2261,2065,5
1924,2261,2093,5
1948,2257,2116,5
1948,2278,2127,5
1934,2330,2112,5
1898,2369,2110,5
1874,2418,2142,5
1858,2459,2165,5
1836,2490,2182,5
1823,2524,2196,5
1847,2570,2230,5
1863,2598,2265,5
1889,2567,2237,5
1915,2479,2194,5
1929,2391,2197,5
1961,2330,2203,5
2010,2297,2177,5
2023,2304,2161,5
2006,2324,2169,5
1990,2347,2141,5
1958,2359,2083,5
1934,2338,2072,5
1929,2318,2093,5
1954,2304,2092,5
1939,2266,2079,5
1931,2259,2076,5
1927,2259,2079,5
1931,2252,2074,5
1923,2251,2075,5
1929,2272,2074,5
1945,2289,2076,5
1947,2313,2073,5
1939,2339,2077,5
1937,2367,2081,5
1941,2415,2082,5
1950,2457,2068,5
1940,2497,2068,5
1942,2519,2105,5
1956,2555,2172,5
1976,2623,2224,5
1981,2644,2206,5
1937,2591,2159,5
1942,2475,2160,5
1939,2369,2185,5
1934,2309,2226,5
1939,2291,2239,5
1936,2293,2227,5
1938,2319,2168,5
1931,2334,2127,5
