"Index","X","Y","Z","Activity"
1,1890,2386,2028,3
2,1891,2390,2028,3
3,1889,2386,2031,3
4,1895,2390,2031,3
5,1901,2387,2031,3
6,1895,2381,2022,3
7,1901,2388,2027,3
8,1900,2394,2032,3
9,1902,2387,2027,3
10,1905,2387,2027,3
11,1907,2390,2028,3
12,1899,2383,2025,3
13,1909,2387,2021,3
14,1907,2393,2030,3
15,1905,2389,2021,3
16,1910,2379,2028,3
17,1906,2385,2028,3
18,1900,2385,2020,3
19,1900,2383,2024,3
20,1897,2383,2026,3
21,1893,2380,2019,3
22,1889,2382,2017,3
23,1888,2387,2015,3
24,1892,2384,2020,3
25,1884,2387,2018,3
26,1890,2393,2018,3
27,1890,2387,2017,3
28,1889,2384,2018,3
29,1892,2380,2019,3
30,1891,2381,2013,3
31,1893,2385,2016,3
32,1889,2382,2024,3
33,1895,2387,2019,3
34,1890,2380,2014,3
35,1898,2384,2017,3
36,1900,2383,2016,3
37,1892,2381,2016,3
38,1891,2385,2017,3
39,1899,2384,2017,3
40,1893,2391,2016,3
41,1907,2378,2012,3
42,1903,2379,2016,3
43,1901,2384,2011,3
44,1898,2381,2019,3
45,1903,2383,2014,3
46,1906,2386,2020,3
47,1900,2386,2019,3
48,1903,2387,2020,3
49,1901,2389,2021,3
50,1898,2381,2018,3
51,1901,2385,2021,3
52,1896,2381,2016,3
53,1893,2385,2017,3
54,1894,2388,2014,3
55,1893,2389,2017,3
56,1893,2384,2018,3
57,1891,2380,2015,3
58,1895,2383,2020,3
59,1893,2383,2016,3
60,1895,2385,2018,3
61,1895,2385,2019,3
62,1896,2386,2017,3
63,1901,2384,2022,3
64,1904,2390,2026,3
65,1899,2385,2023,3
66,1901,2385,2028,3
67,1903,2379,2021,3
68,1901,2389,2022,3
69,1901,2386,2027,3
70,1896,2390,2023,3
71,1903,2383,2021,3
72,1895,2383,2021,3
73,1899,2384,2018,3
74,1898,2387,2015,3
75,1888,2385,2015,3
76,1895,2381,2020,3
77,1895,2382,2020,3
78,1898,2390,2015,3
79,1897,2386,2021,3
80,1893,2391,2013,3
81,1899,2390,2023,3
82,1898,2385,2015,3
83,1896,2386,2017,3
84,1899,2382,2015,3
85,1902,2389,2021,3
86,1899,2387,2019,3
87,1895,2386,2019,3
88,1897,2386,2023,3
89,1900,2387,2023,3
90,1899,2387,2017,3
91,1905,2386,2017,3
92,1901,2383,2025,3
93,1902,2386,2019,3
94,1899,2391,2019,3
95,1900,2387,2024,3
96,1899,2387,2016,3
97,1905,2386,2018,3
98,1902,2385,2023,3
99,1904,2386,2018,3
100,1896,2384,2020,3
101,1900,2381,2012,3
102,1899,2386,2015,3
103,1896,2389,2020,3
104,1894,2385,2019,3
105,1896,2379,2020,3
106,1895,2389,2015,3
107,1902,2389,2011,3
108,1900,2385,2019,3
109,1898,2386,2021,3
110,1899,2382,2022,3
111,1899,2389,2021,3
112,1900,2388,2015,3
113,1898,2390,2015,3
114,1896,2390,2023,3
115,1893,2391,2022,3
116,1900,2387,2023,3
117,1901,2387,2021,3
118,1902,2383,2023,3
119,1899,2390,2022,3
120,1901,2389,2018,3
121,1904,2393,2018,3
122,1895,2389,2020,3
123,1895,2391,2021,3
124,1902,2385,2025,3
125,1898,2379,2026,3
126,1900,2383,2024,3
127,1900,2389,2028,3
128,1897,2386,2018,3
129,1899,2387,2020,3
130,1897,2388,2022,3
131,1893,2384,2022,3
132,1901,2384,2020,3
133,1901,2387,2020,3
134,1890,2385,2024,3
135,1900,2385,2027,3
136,1895,2385,2026,3
137,1897,2385,2023,3
138,1896,2386,2021,3
139,1898,2387,2028,3
140,1896,2389,2020,3
141,1895,2386,2024,3
142,1899,2382,2027,3
143,1897,2379,2023,3
144,1900,2388,2026,3
145,1895,2386,2031,3
146,1894,2384,2029,3
147,1896,2386,2031,3
148,1893,2386,2030,3
149,1897,2384,2030,3
150,1897,2389,2018,3
151,1892,2385,2028,3
152,1899,2383,2036,3
153,1897,2387,2028,3
154,1898,2386,2028,3
155,1897,2386,2031,3
156,1899,2383,2032,3
157,1898,2383,2033,3
158,1899,2387,2028,3
159,1894,2388,2030,3
160,1895,2382,2031,3
161,1896,2386,2032,3
162,1899,2384,2031,3
163,1890,2387,2030,3
164,1895,2387,2032,3
165,1890,2385,2031,3
166,1894,2378,2031,3
167,1902,2381,2032,3
168,1899,2387,2032,3
169,1896,2378,2032,3
170,1899,2386,2026,3
171,1894,2386,2033,3
172,1898,2386,2032,3
173,1902,2386,2030,3
174,1895,2381,2031,3
175,1894,2382,2031,3
176,1894,2386,2028,3
177,1899,2381,2031,3
178,1894,2386,2026,3
179,1895,2382,2031,3
180,1892,2387,2027,3
181,1894,2389,2031,3
